-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
 1005.0     82    9.0    5.3     78   5.59    250      4  281.8  297.4  282.7
 1000.0    133    8.6    4.0     73   5.12    245      6  281.8  296.1  282.6
  969.0    394    8.0    4.5     79   5.48    245     11  283.7  299.2  284.6
  941.0    636    6.8    4.4     85   5.60    245     16  284.9  300.7  285.8
  925.0    779   14.2    8.2     67   7.43    165     10  293.8  315.5  295.1
  918.0    843   14.3    7.6     64   7.20    130      8  294.6  315.7  295.9
  915.0    871   14.4    7.4     63   7.11    138      9  294.9  315.8  296.2
  897.0   1038   13.8    7.5     65   7.28    185     16  296.0  317.4  297.3
  853.0   1460   12.3    7.6     73   7.73    220      4  298.7  321.7  300.1
  850.0   1490   12.2    7.6     73   7.76    230      4  298.9  322.0  300.3
  813.0   1862   10.7    4.2     64   6.38    355     10  301.2  320.5  302.3
  805.0   1945   10.4    3.4     62   6.10    347      9  301.7  320.2  302.8
  770.0   2309    7.7    1.3     64   5.49    310      8  302.6  319.4  303.6
  732.0   2724    4.5   -1.1     67   4.85      0      8  303.6  318.6  304.5
  700.0   3090    1.8   -3.2     69   4.34    355      4  304.4  318.0  305.2
  671.0   3430   -0.1   -7.1     59   3.36    344      4  306.0  316.7  306.6
  660.0   3562   -1.7   -7.7     64   3.26    340      4  305.7  316.1  306.3
  649.0   3696   -3.3   -8.3     68   3.17    356      4  305.3  315.4  305.9
  626.0   3981   -4.2   -9.2     68   3.07     30      4  307.5  317.4  308.1
  622.0   4032   -4.3   -9.3     68   3.05     28      5  307.9  317.7  308.5
  600.0   4315   -6.5  -20.5     32   1.25     15     13  308.6  312.8  308.8
  592.0   4419   -7.1  -19.1     38   1.43     10     16  309.1  313.9  309.4
  564.0   4796   -9.1  -14.1     67   2.29     14     21  311.0  318.6  311.4
  541.0   5118  -10.7  -27.7     23   0.73     18     25  312.8  315.4  312.9
  513.0   5525  -12.9  -38.9      9   0.26     23     30  314.9  315.9  315.0
  500.0   5720  -14.7  -41.7      8   0.20     25     33  315.1  315.8  315.1
  475.0   6102  -17.6  -45.5      7   0.14     35     37  316.1  316.7  316.2
  446.0   6571  -21.1  -50.1      6   0.09     24     36  317.4  317.8  317.5
  425.0   6920  -24.0  -52.1      6   0.07     15     35  318.1  318.4  318.1
  400.0   7360  -27.7  -54.7      6   0.06     20     37  318.9  319.1  318.9
  353.0   8244  -35.1  -61.1      5   0.03     24     43  320.5  320.7  320.5
  336.0   8586  -36.3  -62.3      5   0.03     26     45  323.4  323.6  323.4
  300.0   9360  -42.9  -66.9      5   0.02     30     51  324.8  324.9  324.8
  299.0   9383  -43.1  -67.1      5   0.02     30     51  324.8  324.9  324.8
  291.0   9566  -42.7  -66.7      5   0.02     25     49  327.9  328.0  327.9
  264.0  10213  -49.1  -72.2      5   0.01      5     43  327.8  327.8  327.8
  260.0  10314  -50.1  -73.1      5   0.01      8     44  327.8  327.8  327.8
  250.0  10570  -51.5  -73.5      6   0.01     15     47  329.4  329.4  329.4
  223.0  11306  -56.5  -77.5      5   0.00     20     60  332.6  332.6  332.6
  217.0  11480  -56.4  -77.4      5   0.00     20     62  335.4  335.4  335.4
  201.0  11968  -56.1  -77.1      6   0.01     15     70  343.2  343.3  343.2
  200.0  12000  -56.1  -77.1      6   0.01     15     68  343.8  343.8  343.8
  198.0  12064  -56.1  -77.1      6   0.01     15     67  344.8  344.8  344.8
  187.0  12429  -52.9  -74.9      5   0.01     12     60  355.6  355.6  355.6
  175.0  12853  -55.1  -77.1      5   0.01     10     52  358.8  358.8  358.8
  157.0  13548  -53.1  -75.1      5   0.01      5     40  373.5  373.5  373.5
  156.0  13589  -53.3  -75.3      5   0.01      5     39  373.8  373.8  373.8
  150.0  13840  -54.7  -76.7      5   0.01      0     39  375.6  375.7  375.6
  143.0  14145  -56.5  -77.5      5   0.01    354     39  377.6  377.7  377.6
  138.0  14373  -55.9  -77.1      5   0.01    350     39  382.6  382.7  382.7
  124.0  15057  -53.9  -75.9      5   0.01      2     39  398.1  398.1  398.1
  121.0  15213  -54.3  -76.2      5   0.01      5     39  400.2  400.3  400.2
  106.0  16058  -56.2  -77.5      5   0.01      0     31  411.9  411.9  411.9
  100.0  16430  -57.1  -78.1      5   0.01    345     37  417.1  417.2  417.1
   93.0  16888  -57.7  -78.7      5   0.01    330     45  424.6  424.7  424.6
   85.0  17457  -58.5  -79.5      5   0.01    337     40  434.1  434.2  434.1
   72.0  18503  -58.3  -79.3      5   0.01    350     31  455.6  455.6  455.6
   70.0  18680  -58.3  -79.3      5   0.01    345     31  459.3  459.4  459.3
   63.0  19344  -57.5  -78.5      5   0.01    330     27  475.0  475.1  475.0
   50.0  20800  -55.9  -76.9      6   0.02    340     14  511.3  511.5  511.3
   48.0  21060  -56.0  -77.0      6   0.02    345     10  517.1  517.3  517.1
   42.0  21910  -56.2  -77.2      5   0.02     30     14  536.6  536.8  536.6
   36.6  22786  -56.5  -77.5      5   0.03     17     12  557.4  557.7  557.4
   32.0  23647  -54.3  -76.0      5   0.04      5     10  585.0  585.4  585.0
   30.0  24060  -53.3  -75.3      5   0.05     40     12  598.7  599.1  598.8
   28.0  24507  -52.9  -74.9      5   0.05     70     14  611.8  612.3  611.8
   25.0  25241  -52.2  -74.2      5   0.07      5      4  633.9  634.5  634.0
   22.0  26070  -51.4  -73.4      6   0.08     40     10  659.8  660.6  659.9
   20.9  26402  -51.1  -73.1      6   0.09     72      7  670.5  671.4  670.5
   20.0  26690  -49.1  -72.1      5   0.11    100      4  685.1  686.2  685.2
   19.0  27031  -48.3  -71.5      5   0.13    115      2  697.7  699.0  697.7
   17.0  27770  -46.6  -70.0      5   0.18    105      6  725.6  727.4  725.7
   15.0  28602  -44.7  -68.4      5   0.25    350      2  758.4  761.1  758.5
   13.5  29303  -43.1  -67.1      5   0.34      4      5  787.1  790.8  787.2
   12.0  30096  -43.0  -67.0      5   0.39     20      8  814.4  818.7  814.6
